id,sex,trueSex,rec.,W,N,y,x,pop,Note,distr,X,site,age,midflank,lowerflank,bibcor,face,yellowext,yellowint,crown,backcol,hi,plum.SP,period,Sex,Date,rec.2,sample.id,EV1,EV2,plateid,F,siteID,pop.SP,HI,distr.1,plateID,N.1,W.1,bird.ID,originalseq,site.1,SP,sex.1,age.1,mass,tarsus,wing,CP,bill.length,bib.length,bib.width,bib.size,breast.yellow,crown.length.yellow,crown.width,bib.L,bib.a,bib.b,crown.L,crown.a,crown.b,LEFT.cheek.L,LEFT.cheek.a,LEFT.cheek.b,RIGHT.cheek.L,RIGHT.cheek.a,RIGHT.cheek.b,back.L,back.a,back.b,breast.L,breast.a,breast.b,pc1.close,pc2.close,pc1.vocal,pc2.vocal,maintained,time.in.sight.15,time.within.5m,closest.approach,song.response,short.flight.5m,long.flight.5m,flights.within.5m,SP.pop,SP.plumageID,UWBM,Latitude,Longitude,Family,Scientific.Name,Common.Name,Sex.1,Type,Tissue.Number,Date.1,Country,State.or.Province,County,Locality,Misc..Location,Island.Group,year,flank,byellow,rank.trans.hi,rank.trans.song.response,rank.trans.pc1.close,rank.trans.R.cheek.b,rank.trans.bib.size,rank.trans.breast.yellow
tohe_plate1_QE15W02,1,M,QE15W02,-120.81364,39.12785,-120.81364,39.12785,CA06,,-702.7343575,237,CA06,ad,0,0,0,0,0,0,0,0.25,0.03125,HEWA,2015-16,M,5/15/16,63,QE15W02,-0.040441352,0.008023587,tohe_plate1_QE15W02,0.00818,CA06,inlandHEWA,0.03125,-702.7343575,plate1,39.12785,-120.81364,QE15W02,255,,HEWA,M,Adult,9.2,16.73,67,3,9.88,13.5,21.45,289.575,0,20.49,0,21,0,2,67,-5,58,89,-9,81,66,-9,60,49,-6,-10,86,-8,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0,0,-1.658472061,NA,NA,-0.071097902,-0.010851418,-0.580651419
tohe_plate1_QE15W03,1,M,QE15W03,-120.81888,39.12561,-120.81888,39.12561,CA06,,-702.9753617,240,CA06,ad,0,0,0,0,0,0,0,0.15,0.01875,HEWA,2015-16,M,5/15/16,64,QE15W03,-0.042597825,0.011473121,tohe_plate1_QE15W03,-0.1299,CA06,inlandHEWA,0.01875,-702.9753617,plate1,39.12561,-120.81888,QE15W03,258,,HEWA,M,Adult,10.3,18,68,3,9.86,NA,NA,NA,0,13.94,0,24,-1,2,74,-13,66,91,-11,65,81,-13,64,51,-5,-14,83,-8,-18,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0,0,-1.952103431,NA,NA,0.157952882,NA,-0.580651419
tohe_plate4_QE15W06,1,M,QE15W06,-120.7093,39.1265,-120.7093,39.1265,CA06,,-703.0914837,245,CA06,im,-0.003103494,0.018055778,-0.004979624,NA,-0.068277876,-0.077246635,0.027065835,0.278304932,0.036052042,HEWA,2015-16,M,5/15/16,334,QE15W06,-0.125053463,0.029749304,tohe_plate4_QE15W06,0.10062,CA06,inlandHEWA,0.036052042,-703.0914837,plate4,39.1265,-120.7093,QE15W06,263,CA06,HEWA,M,Immature,9.7,17.41,66,3,9.73,11.04,17.55,193.752,0,17.74,0,25,1,5,70,-6,63,65,-2,54,94,-11,79,55,-2,6,88,0,0,-1.540506877,0.491383614,0.830098469,-1.395813151,1,583,240,5,96,1,3,4,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.007476142,-0.072762256,-1.57290533,1.505967676,-0.919384035,1.565742523,-0.821686383,-0.580651419
tohe_plate4_QE15W07,1,M,QE15W07,-120.7093,39.1265,-120.7093,39.1265,CA06,,-703.0914837,246,CA06,ad,0,0,0,0.033333333,0,0,0.033333333,0,0.008333333,HEWA,2015-16,M,5/15/16,335,QE15W07,-0.093352115,0.027487185,tohe_plate4_QE15W07,0.04402,CA06,inlandHEWA,0.008333333,-703.0914837,plate4,39.1265,-120.7093,QE15W07,264,,HEWA,M,Adult,10,19.23,65,3,9.81,5.14,NA,NA,0,20.57,0,10,1,6,73,-7,64,NA,NA,NA,86,-7,79,52,-1,1,88,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0,0,-2.036834132,NA,NA,1.565742523,NA,-0.580651419
tohe_plate4_QE19W01,1,M,QE19W01,-119.62907,37.41741,-119.62907,37.41741,CA09,,-899.4285556,254,CA09,ad,0,0,0.05,0,0,0,0,0.4,0.05625,HEWA,2015-16,M,5/19/16,336,QE19W01,-0.120655346,0.045786271,tohe_plate4_QE19W01,0.09707,CA09,inlandHEWA,0.05625,-899.4285556,plate4,37.41741,-119.62907,QE19W01,272,,HEWA,M,Adult,9.8,17.28,66,3,9.55,23.27,23.98,558.0146,0,16.46,0,24,-1,0,86,-5,55,89,-10,78,75,-8,61,47,-4,-8,74,-4,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0,0,-1.173137325,NA,NA,-0.020297979,1.096803562,-0.580651419
tohe_plate1_QE19W03,1,M,QE19W03,-119.62904,37.41739,-119.62904,37.41739,CA09,,-899.4310703,255,CA09,ad,0.05,0,0.25,0,0,0,0,0,0.0375,HEWA,2015-16,M,5/19/16,65,QE19W03,-0.029189987,0.019899124,tohe_plate1_QE19W03,0.04949,CA09,inlandHEWA,0.0375,-899.4310703,plate1,37.41739,-119.62904,QE19W03,274,,HEWA,M,Adult,9.2,17.26,67,3,13.06,7.32,18.3,133.956,0,26.09,0,12,-1,5,82,-10,55,75,-10,51,79,-9,44,24,0,-5,89,-5,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.025,0,-1.462813133,NA,NA,-0.531399886,-1.309171717,-0.580651419
tohe_plate4_QE19W03,1,M,QE19W03,-119.62904,37.41739,-119.62904,37.41739,CA09,,-899.4310703,255,CA09,ad,0.05,0,0.25,0,0,0,0,0,0.0375,HEWA,2015-16,M,5/19/16,337,QE19W03,-0.114608008,0.056970979,tohe_plate4_QE19W03,0.04949,CA09,inlandHEWA,0.0375,-899.4310703,plate1,37.41739,-119.62904,QE19W03,274,,HEWA,M,Adult,9.2,17.26,67,3,13.06,7.32,18.3,133.956,0,26.09,0,12,-1,5,82,-10,55,75,-10,51,79,-9,44,24,0,-5,89,-5,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.025,0,-1.462813133,NA,NA,-0.531399886,-1.309171717,-0.580651419
tohe_plate3_QE20W01,0,F,QE20W01,-118.55354,35.75337,-118.55354,35.75337,CA10,,-1096.201557,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,2015-16,F,5/20/16,247,QE20W01,0.095212539,-0.007828566,tohe_plate3_QE20W01,0.01475,CA10,inlandHEWA,NA,-1096.201557,plate3,35.75337,-118.55354,QE20W01,276,,HEWA,M,Immature,NA,17.67,66,0,10.01,13.94,22.17,309.0498,20.71,0,13.54,17,0,6,39,-4,19,68,-2,27,51,-4,28,56,-7,32,72,-7,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,TOWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,NA,NA,NA,NA,NA,-1.321799821,0.163493526,0.906343442
tohe_plate2_QE20W02,1,M,QE20W02,-118.55403,35.7182,-118.55403,35.7182,CA10,,-1100.037525,257,CA10,im,-0.003103494,0.051949755,-0.054979624,NA,-0.001627088,-0.002141751,-0.006267498,-0.221695068,NA,HEWA,2015-16,M,5/20/16,158,QE20W02,-0.051638217,0.011199218,tohe_plate2_QE20W02,-0.11525,CA10,inlandHEWA,-0.069020532,-1100.037525,plate2,35.7182,-118.55403,QE20W02,277,,HEWA,M,Immature,8.8,16.8,62,3,10.24,10.05,19.64,197.382,0,23.66,0,5,1,2,82,-9,66,89,-8,79,72,-5,68,62,-1,1,81,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.024423131,-0.00188442,NA,NA,NA,0.379315701,-0.806571464,-0.580651419
tohe_plate2_QE21W01,1,M,QE21W01,-118.55301,35.71935,-118.55301,35.71935,CA10,,-1099.927757,258,CA10,ad,0,0.5,0,0,0.026492083,0.05,0,0.5,0.13456151,HEWA,2015-16,M,5/21/16,159,QE21W01,-0.089805864,0.029677942,tohe_plate2_QE21W01,0.02416,CA10,inlandHEWA,0.13456151,-1099.927757,plate2,35.71935,-118.55301,QE21W01,278,,HEWA,M,Adult,9.6,17.63,66,3,10.67,9.6,23.04,221.184,0,23.99,0,16,1,7,81,-8,69,90,-11,77,88,-5,81,40,-1,5,90,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.25,0.038246042,-0.652794315,NA,NA,2.139580746,-0.585157887,-0.580651419
tohe_plate2_QE21W03,1,M,QE21W03,-118.55975,35.73323,-118.55975,35.73323,CA10,,-1098.305636,260,CA10,ad,0,0,0,0.166666667,0,0,0.166666667,0,0.041666667,HEWA,2015-16,M,5/21/16,160,QE21W03,-0.123314535,0.051890664,tohe_plate2_QE21W03,0.14034,CA10,inlandHEWA,0.041666667,-1098.305636,plate2,35.73323,-118.55975,QE21W03,280,,HEWA,M,Adult,9.1,16.79,66,3,9.27,9.62,20.66,198.7492,0,2.43,10.56,29,-1,5,66,-2,58,89,-7,81,85,-3,73,49,0,-4,87,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0,0,-1.284194029,NA,NA,0.790647367,-0.791638608,-0.580651419
tohe_plate3_QE21W04,1,M,QE21W04,-118.55684,35.74364,-118.55684,35.74364,CA10,,-1097.213304,261,CA10,ad,0.5,0.75,0.5,0,0.059378806,0.05,0.166666667,0,0.253255684,Hybrid,2015-16,M,5/21/16,248,QE21W04,-0.088027255,0.022959575,tohe_plate3_QE21W04,0.03053,CA10,inlandHEWA,0.253255684,-1097.213304,plate3,35.74364,-118.55684,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.625,0.054689403,-0.133853377,NA,NA,NA,NA,NA
tohe_plate4_QE22W01,1,M,QE22W01,-122.19733,37.15869,-122.19733,37.15869,CA11,,-926.9032432,262,CA11,ad,0,0.15,0,0,0,0,0.1,0,0.03125,HEWA,2015-16,M,5/22/16,338,QE22W01,-0.095078532,0.008382487,tohe_plate4_QE22W01,0.05917,CA11,coastalHEWA,0.03125,-926.9032432,plate4,37.15869,-122.19733,QE22W01,282,,HEWA,M,Adult,10.3,18.61,67,3,9.84,9.54,21.73,207.3042,0,19.43,0,12,2,-3,79,-7,5,86,-10,75,85,-6,73,46,0,0,84,-3,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,HEWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.075,0,-1.658472061,NA,NA,0.790647367,-0.677899373,-0.580651419
tohe_plate3_QE23W01,1,M,QE23W01,-123.49535,39.37293,-123.49535,39.37293,CA12,,-706.6315507,263,CA12,im,0.289055379,0.318055778,0.195020376,0.207334267,0.287081442,0.372753365,0.260399169,0.278304932,0.284147472,Hybrid,2015-16,M,5/23/16,249,QE23W01,-0.047763324,0.015053034,tohe_plate3_QE23W01,-0.00868,CA12,coastalHEWA,0.284147472,-706.6315507,plate3,39.37293,-123.49535,QE23W01,283,,HEWA,M,Immature,9.7,18.24,67,2,9.84,11.82,27.55,325.641,0,13.35,0,14,0,5,71,-8,55,91,-9,79,91,-10,79,54,-2,1,69,-4,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,hybrid,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.303555579,0.329917404,-0.087145882,NA,NA,1.565742523,0.331509402,-0.580651419
tohe_plate2_QE23W02,1,M,QE23W02,-123.51062,39.35431,-123.51062,39.35431,CA12,,-708.9850807,264,CA12,ad,0.25,0,0.25,0,0.429354446,0.05,0,0.5,0.184919306,HEWA,2015-16,M,5/23/16,161,QE23W02,2.09E-46,8.82E-48,tohe_plate2_QE23W02,-0.08518,CA12,coastalHEWA,0.184919306,-708.9850807,plate2,39.35431,-123.51062,QE23W02,284,,HEWA,M,Adult,9.8,17.74,66,3,10.61,11.12,21.26,236.4112,0,18.2,0,9,2,2,72,-9,53,93,-10,67,92,-12,69,48,0,0,94,-4,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,hybrid,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.125,0.239677223,-0.462784952,NA,NA,0.445621821,-0.401147286,-0.580651419
tohe_plate1_QE23W03,1,M,QE23W03,-123.56134,39.34771,-123.56134,39.34771,CA12,,-710.9271174,265,CA12,ad,0,0.5,0.25,0.066666667,0.204933009,0.25,0.166666667,0.25,0.211033293,HEWA,2015-16,M,5/23/16,66,QE23W03,-0.017030937,-0.002147813,tohe_plate1_QE23W03,-0.03836,CA12,coastalHEWA,0.211033293,-710.9271174,plate1,39.34771,-123.56134,QE23W03,285,,HEWA,M,Adult,9.9,17.2,64,3,9.5,13.99,25.49,356.6051,0,17.39,0,17,-1,2,80,-10,66,94,-10,71,69,-10,63,15,-1,-2,84,-1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,hybrid,NA,NA,NA,,,,,,,,,,,,,NA,2016,0.25,0.227466505,-0.324749893,NA,NA,0.086367742,0.509517392,-0.580651419
tohe_plate1_QE24W02,1,M,QE24W02,-123.63499,39.35793,-123.63499,39.35793,CA12,,-711.6808147,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,2015-16,M,5/24/16,67,QE24W02,-0.031451351,0.007803771,tohe_plate1_QE24W02,-0.1236,CA12,coastalHEWA,NA,-711.6808147,plate1,39.35793,-123.63499,QE24W02,287,,HEWA,M,Adult,9.9,17.52,66,3,9.43,7.77,14.03,109.0131,0,12.16,0,58,-4,31,59,-6,38,80,-5,66,69,-7,63,63,-2,-2,81,-2,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,TOWA,NA,NA,NA,,,,,,,,,,,,,NA,2016,NA,NA,NA,NA,NA,0.086367742,-1.531924262,-0.580651419
tohe_plate3_QE24W03,1,M,QE24W03,-123.64812,39.35782,-123.64812,39.35782,CA12,,-712.0255776,267,CA12,ad,0,0,0.25,0.133333333,0,0,0.066666667,1,0.18125,HEWA,2015-16,M,5/24/16,250,QE24W03,-0.054569531,-0.001552713,tohe_plate3_QE24W03,0.0195,CA12,coastalHEWA,0.18125,-712.0255776,plate3,39.35782,-123.64812,QE24W03,288,,HEWA,M,Adult,10.5,19.43,67,3,10.38,9.49,17.04,161.7096,0,14.7,0,22,0,7,76,-8,66,83,-10,78,90,-10,77,54,-3,-1,81,-1,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,hybrid,NA,NA,NA,,,,,,,,,,,,,NA,2016,0,0,-0.475740506,NA,NA,1.230196629,-1.02077868,-0.580651419
