id,sex,trueSex,rec.,W,N,y,x,pop,Note,distr,X,site,age,midflank,lowerflank,bibcor,face,yellowext,yellowint,crown,backcol,hi,plum.SP,period,Sex,Date,rec.2,sample.id,EV1,EV2,plateid,F,siteID,pop.SP,HI,distr.1,plateID,N.1,W.1,bird.ID,originalseq,site.1,SP,sex.1,age.1,mass,tarsus,wing,CP,bill.length,bib.length,bib.width,bib.size,breast.yellow,crown.length.yellow,crown.width,bib.L,bib.a,bib.b,crown.L,crown.a,crown.b,LEFT.cheek.L,LEFT.cheek.a,LEFT.cheek.b,RIGHT.cheek.L,RIGHT.cheek.a,RIGHT.cheek.b,back.L,back.a,back.b,breast.L,breast.a,breast.b,pc1.close,pc2.close,pc1.vocal,pc2.vocal,maintained,time.in.sight.15,time.within.5m,closest.approach,song.response,short.flight.5m,long.flight.5m,flights.within.5m,SP.pop,SP.plumageID,UWBM,Latitude,Longitude,Family,Scientific.Name,Common.Name,Sex.1,Type,Tissue.Number,Date.1,Country,State.or.Province,County,Locality,Misc..Location,Island.Group,year,flank,byellow,rank.trans.hi,rank.trans.song.response,rank.trans.pc1.close,rank.trans.R.cheek.b,rank.trans.bib.size,rank.trans.breast.yellow
tohe_plate3_41734,1,M,41734,-121.9727724,46.2528036,-121.9727724,46.2528036,R68,,-14.86410036,441,R68,ad,0.75,0.75,1,0.333333333,0.721577017,1,0.6,1,0.769363794,TOWA,1987-94,male,6/17/86,180,41734,0.009652108,-0.000288685,tohe_plate3_41734,-0.05816,R68,HZ,0.769363794,-14.86410036,plate3,46.2528036,-121.9727724,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41734,46.2528036,-121.9727724,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2546,6/17/86,United States of America,Washington,Skamania,Randle,,NA,1986,0.75,0.860788509,0.836670549,NA,NA,NA,NA,NA
tohe_plate1_41735,1,M,41735,-121.9885063,46.2310877,-121.9885063,46.2310877,R68,,-17.28104988,442,R68,ad,0.75,0.75,0.9,0.066666667,0.464547677,0.9,0.7,1,0.691401793,Hybrid,1987-94,male,6/17/86,1,41735,-0.003819344,-0.015092026,tohe_plate1_41735,-0.08518,R68,HZ,0.691401793,-17.28104988,plate1,46.2310877,-121.9885063,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41735,46.2310877,-121.9885063,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2549,6/17/86,United States of America,Washington,Skamania,Randle,,NA,1986,0.75,0.682273839,0.726401629,NA,NA,NA,NA,NA
tohe_plate2_41736,1,M,41736,-121.9832616,46.4084346,-121.9832616,46.4084346,R61,,-6.720838908,432,R61,ad,0.35,0.25,0.6,0,0.408924205,0.4,0.133333333,0.75,0.361532192,Hybrid,1987-94,male,6/17/86,93,41736,-0.013852125,0.001637523,tohe_plate2_41736,-0.05341,R61,HZ,0.361532192,-6.720838908,plate2,46.4084346,-121.9832616,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41736,46.4084346,-121.9832616,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2544,6/17/86,United States of America,Washington,Lewis,Randle,,NA,1986,0.3,0.404462103,0.122153089,NA,NA,NA,NA,NA
tohe_plate1_41737,1,M,41737,-121.8678802,46.4410085,-121.8678802,46.4410085,R61,,2.644863385,802,R61,im,0.685066308,0.651311509,NA,NA,0.442294695,0.358447307,0.31158472,0.795680937,0.519283623,Hybrid,1987-94,male,6/17/86,2,41737,-0.00417646,0.001589062,tohe_plate1_41737,-0.29535,R61,HZ,0.519283623,2.644863385,plate1,46.4410085,-121.8678802,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41737,46.4410085,-121.8678802,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2542,6/17/86,United States of America,Washington,Lewis,Randle,,NA,1986,0.668188909,0.400371001,0.399106389,NA,NA,NA,NA,NA
tohe_plate4_41738,1,M,41738,-121.9885063,46.4120539,-121.9885063,46.4120539,R61,,-6.893012544,431,R61,ad,0,0,0.1,0,0.181845966,0.25,0.1,0.75,0.172730746,HEWA,1987-94,male,6/17/86,271,41738,0.002304581,0.032083656,tohe_plate4_41738,0.02723,R61,HZ,0.172730746,-6.893012544,plate4,46.4120539,-121.9885063,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41738,46.4120539,-121.9885063,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2543,6/17/86,United States of America,Washington,Lewis,Randle,,NA,1986,0,0.215922983,-0.528399301,NA,NA,NA,NA,NA
tohe_plate4_41739,1,M,41739,-121.9675278,46.245565,-121.9675278,46.245565,R68,,-15.02015564,841,R68,im,0.040154859,0.062308631,0.36101178,NA,0.021908912,0.039053762,0.069260002,0.587941147,0.123356407,HEWA,1987-94,male,6/17/86,272,41739,-0.039112211,-0.01806076,tohe_plate4_41739,0.05862,R68,HZ,0.123356407,-15.02015564,plate4,46.245565,-121.9675278,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41739,46.245565,-121.9675278,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,CSW 2550,6/17/86,United States of America,Washington,Skamania,Randle,,NA,1986,0.051231745,0.030481337,-0.756959588,NA,NA,NA,NA,NA
tohe_plate2_49095,1,M,49095,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,94,49095,0.134596516,0.062947508,tohe_plate2_49095,0.02363,"John Day, OR",inlandTOWA,NA,224.4146026,plate2,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49095,44.65,-118.45,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6713,6/5/94,United States of America,Oregon,Grant,John Day,just west of county line on Route 7,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate2_49096,0,F,49096,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,female,6/5/94,95,49096,0.111975881,0.03600719,tohe_plate2_49096,-0.01674,"John Day, OR",inlandTOWA,NA,224.4146026,plate2,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49096,44.65,-118.45,Emberizidae,Dendroica townsendi,Townsend's Warbler,female,round,SAR 6714,6/5/94,United States of America,Oregon,Grant,John Day,just west of county line on Route 7,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_49098,1,M,49098,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,181,49098,0.142110472,0.082704798,tohe_plate3_49098,0.00013,"John Day, OR",inlandTOWA,NA,224.4146026,plate3,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49098,44.6833333,-118.4666667,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6716,6/5/94,United States of America,Oregon,Baker,John Day,"Snow Creek, above North Fork Burnt River",NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_49099,1,M,49099,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,182,49099,0.084548989,0.025645766,tohe_plate3_49099,-0.02174,"John Day, OR",inlandTOWA,NA,224.4146026,plate3,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49099,44.6833333,-118.4666667,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6717,6/5/94,United States of America,Oregon,Baker,John Day,"Snow Creek, above North Fork Burnt River",NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_49101,1,M,49101,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,183,49101,0.127967958,0.079900854,tohe_plate3_49101,-0.00406,"John Day, OR",inlandTOWA,NA,224.4146026,plate3,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49101,44.6833333,-118.4666667,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6719,6/5/94,United States of America,Oregon,Baker,John Day,"Snow Creek, above North Fork Burnt River",NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_49103,1,M,49103,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,184,49103,0.113388051,0.032152945,tohe_plate3_49103,-0.02994,"John Day, OR",inlandTOWA,NA,224.4146026,plate3,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49103,44.6833333,-118.4666667,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6721,6/5/94,United States of America,Oregon,Baker,John Day,"Snow Creek, above North Fork Burnt River",NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate4_49138,1,M,49138,-122.059,45.6689,-122.059,45.6689,R84,,-51.87324761,921,R84,ad,0.91442789,0.859261975,0.980047009,0.031059332,0.023536,0.041195513,0.708815,0.561390656,0.514966672,Hybrid,1987-94,male,5/27/94,273,49138,-0.035916282,0.028323764,tohe_plate4_49138,0.04682,R84,HZ,0.514966672,-51.87324761,plate4,45.6689,-122.059,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49138,45.6689,-122.059,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,SAR 6607,5/27/94,United States of America,Washington,Skamania,North Bonneville,,NA,1994,0.886844933,0.032365757,0.386570671,NA,NA,NA,NA,NA
tohe_plate4_49140,1,M,49140,-122.059,45.6689,-122.059,45.6689,R84,,-51.87324761,922,R84,ad,0.38871851,0.244252853,0.725273854,0.031059332,0.399969055,0.627923666,0.3288425,0.714194554,0.432529291,Hybrid,1987-94,male,5/27/94,274,49140,-0.033929115,0.00138058,tohe_plate4_49140,0.00505,R84,HZ,0.432529291,-51.87324761,plate4,45.6689,-122.059,,NA,,,,,NA,NA,NA,NA,NA,27.36,23.52,643.5072,3.87,8.54,0,0,0,1,60,-5,42,64,-3,49,53,-4,39,0,-1,3,56,-2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49140,45.6689,-122.059,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round/wing,SAR 6609,5/27/94,United States of America,Washington,Skamania,North Bonneville,,NA,1994,0.316485682,0.513946361,0.252148962,NA,NA,-0.776850525,1.375969201,0.20692866
tohe_plate3_49149,1,M,49149,-121.5010642,46.0578395,-121.5010642,46.0578395,R73,,6.986701235,867,R73,im,0.040154859,0.001949755,0.36101178,NA,0.27444392,0.174547067,0.195917502,0.795680937,0.214253367,HEWA,1987-94,male,5/29/94,185,49149,-0.010206888,-0.027293515,tohe_plate3_49149,0.02415,R73,HZ,0.214253367,6.986701235,plate3,46.0578395,-121.5010642,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49149,46.0578395,-121.5010642,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,SAR 6618,5/29/94,United States of America,Washington,Yakima,Mount Adams,,NA,1994,0.021052307,0.224495494,-0.30037794,NA,NA,NA,NA,NA
tohe_plate1_49151,1,M,49151,-121.497,46.067,-121.497,46.067,R73,,7.739592055,448,R73,ad,0,0,0,0,0.08190709,0.4,0.3,0.6,0.172738386,HEWA,1987-94,male,5/30/94,3,49151,-0.003165972,0.01439999,tohe_plate1_49151,-0.12964,R73,HZ,0.172738386,7.739592055,plate1,46.067,-121.497,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49151,46.067,-121.497,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,SAR 6620,5/30/94,United States of America,Washington,Yakima,Mount Adams,,NA,1994,0,0.240953545,-0.515102377,NA,NA,NA,NA,NA
tohe_plate3_49154,1,M,49154,-121.497,46.067,-121.497,46.067,R73,,7.739592055,871,R73,im,0.818287194,0.801955959,NA,0.873593142,0.819601079,NA,0.969490508,NA,0.971174271,TOWA,1987-94,male,5/30/94,186,49154,0.048191753,-0.001003216,tohe_plate3_49154,-0.00658,R73,HZ,0.971174271,7.739592055,plate3,46.067,-121.497,,NA,,,,,NA,NA,NA,NA,NA,27.23,25.54,695.4542,20.36,13.33,0,0,0,4,0,0,3,31,0,33,32,-1,31,10,-1,14,49,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49154,46.067,-121.497,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6623,5/30/94,United States of America,Washington,Yakima,Mount Adams,,NA,1994,0.810121577,NA,1.09584149,NA,NA,-1.177824958,1.69062163,0.846021082
tohe_plate4_49903,1,M,49903,-121.5696856,45.982864,-121.5696856,45.982864,R75,BTYWXHEWA,-1.641923965,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/16/94,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,31.77,22.89,727.2153,0,NA,13.52,0,0,2,22,2,20,63,1,36,61,1,35,6,0,5,42,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,,,,,,,,NA,1994,NA,NA,NA,NA,NA,-0.962034272,1.908884009,-0.580651419
tohe_plate4_49918,1,M,49918,-121.5177499,46.0263,-121.5177499,46.0263,R74,,4.149536375,449,R74,ad,0.3,0.2,1,0,0,0,0.3,1,0.35,Hybrid,1987-94,male,6/16/94,275,49918,-0.019161444,-0.018287261,tohe_plate4_49918,0.02008,R74,HZ,0.35,4.149536375,plate4,46.0263,-121.5177499,,NA,,,,,NA,NA,NA,NA,NA,30.6,22.46,687.276,0,7.17,0,0,0,3,45,0,42,64,1,49,63,3,48,7,0,4,61,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49918,46.0263,-121.5177499,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,CSW 5062,6/16/94,United States of America,Washington,Klickitat,Trout Lake,,NA,1994,0.25,0,0.087145882,NA,NA,-0.352189226,1.497746467,-0.580651419
tohe_plate1_49921,1,M,49921,-121.5177499,46.0263,-121.5177499,46.0263,R74,,4.149536375,451,R74,ad,1,1,1,1,0.097493888,0.2,1,1,0.787186736,TOWA,1987-94,male,6/16/94,4,49921,-1.33E-15,-1.67E-16,tohe_plate1_49921,-0.08518,R74,HZ,0.787186736,4.149536375,plate1,46.0263,-121.5177499,,NA,,,,,NA,NA,NA,NA,NA,28.14,22.06,620.7684,0,0,12.71,0,0,2,0,0,3,34,-2,28,30,0,27,10,-2,6,62,-2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49921,46.0263,-121.5177499,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round/wing,CSW 5065,6/16/94,United States of America,Washington,Klickitat,Trout Lake,,NA,1994,1,0.148746944,0.870075292,NA,NA,-1.385198096,1.201809795,-0.580651419
tohe_plate4_49921p4,0,NA,49921p4,-121.5177499,46.0263,-121.5177499,46.0263,R74,,4.149536375,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,2,217,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,,,,,,,,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate2_49922,1,M,49922,-121.5177499,46.0263,-121.5177499,46.0263,R74,,4.149536375,875,R74,im,0.040154859,0.001949755,0.432227906,NA,0.021908912,0.039053762,0.069260002,0.339695588,0.096204609,HEWA,1987-94,male,6/16/94,96,49922,-0.018939272,-0.010582258,tohe_plate2_49922,0.00646,R74,HZ,0.096204609,4.149536375,plate2,46.0263,-121.5177499,,NA,,,,,NA,NA,NA,NA,NA,31.78,21.85,694.393,0,18.93,0,0,0,2,72,-2,58,58,-1,47,60,1,47,11,-1,6,60,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49922,46.0263,-121.5177499,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,CSW 5066,6/16/94,United States of America,Washington,Klickitat,Trout Lake,,NA,1994,0.021052307,0.030481337,-0.939990912,NA,NA,-0.395725296,1.646955954,-0.580651419
tohe_plate2_49924,1,M,49924,-121.5177499,46.0263,-121.5177499,46.0263,R74,,4.149536375,876,R74,im,0.177773889,0.062308631,0.561667984,NA,-0.044076357,0.174547067,0.58619202,0.679312072,0.287187589,Hybrid,1987-94,male,6/16/94,97,49924,-0.012948195,-0.015809587,tohe_plate2_49924,0.00252,R74,HZ,0.287187589,4.149536375,plate2,46.0263,-121.5177499,,NA,,,,,NA,NA,NA,NA,NA,27.49,22.92,630.0708,1.87,NA,11.7,0,0,2,36,-1,39,56,1,50,50,1,41,6,-1,4,59,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49924,46.0263,-121.5177499,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,CSW 5068,6/16/94,United States of America,Washington,Klickitat,Trout Lake,,NA,1994,0.12004126,0.065235355,-0.075502618,NA,NA,-0.671308075,1.247753855,0.159911462
tohe_plate1_49960,1,M,49960,-121.5542957,45.7848074,-121.5542957,45.7848074,R83,,-10.81336012,471,R83,ad,0,0,0.8,0,0,0,0.666666667,0.4,0.233333333,HEWA,1987-94,male,6/16/94,5,49960,-0.01412795,0.000301006,tohe_plate1_49960,-0.0815,R83,HZ,0.233333333,-10.81336012,plate1,45.7848074,-121.5542957,,NA,,,,,NA,NA,NA,NA,NA,27.95,24.68,689.806,0,13.51,NA,0,0,1,34,-3,29,77,-7,60,54,-4,42,0,0,1,54,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49960,45.7848074,-121.5542957,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 5104,6/16/94,United States of America,Washington,Klickitat,Husum,,NA,1994,0,0,-0.204499781,NA,NA,-0.627449892,1.60622215,-0.580651419
tohe_plate1_49962,1,M,49962,-121.5542957,45.7848074,-121.5542957,45.7848074,R83,,-10.81336012,473,R83,ad,0,0,0.75,0,0.222493888,0.5,0.2,1,0.334061736,Hybrid,1987-94,male,6/16/94,6,49962,-0.00561075,0.007256987,tohe_plate1_49962,-0.16735,R83,HZ,0.334061736,-10.81336012,plate1,45.7848074,-121.5542957,,NA,,,,,NA,NA,NA,NA,NA,33.25,21.96,730.17,9.06,10.78,0,0,0,2,67,-4,49,72,-6,56,67,-5,51,5,-1,5,48,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49962,45.7848074,-121.5542957,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 5106,6/16/94,United States of America,Washington,Klickitat,Husum,,NA,1994,0,0.361246944,0.01740802,NA,NA,-0.282802895,1.980752397,0.286375988
tohe_plate1_49964,1,M,49964,-121.5542957,45.7848074,-121.5542957,45.7848074,R83,,-10.81336012,475,R83,ad,0,0.15,0.9,0,0.046149144,0.1,0.2,1,0.299518643,Hybrid,1987-94,male,6/16/94,7,49964,-0.008822475,-0.003104496,tohe_plate1_49964,-0.1559,R83,HZ,0.299518643,-10.81336012,plate1,45.7848074,-121.5542957,,NA,,,,,NA,NA,NA,NA,NA,28.93,22.96,664.2328,0,10.87,0,0,0,0,55,-5,37,63,-5,40,55,-4,32,8,-1,5,49,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49964,45.7848074,-121.5542957,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,CSW 5108,6/16/94,United States of America,Washington,Klickitat,Husum,,NA,1994,0.075,0.073074572,-0.040627836,NA,NA,-1.10951871,1.43420016,-0.580651419
tohe_plate4_50271,1,M,50271,-132,54,-132,54,"Queen Charlotte Is., BC",,1020.449875,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/3/88,276,50271,-0.020056137,-0.265181581,tohe_plate4_50271,0.07025,"Queen Charlotte Is., BC",coastalTOWA,NA,1020.449875,plate4,54,-132,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,50271,53.5749769,-132.3914337,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,CSW 3531,6/3/88,Canada,British Columbia,,Juskatla,Blackwater Creek (Graham Island),NA,1988,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_50275,1,M,50275,-132,54,-132,54,"Queen Charlotte Is., BC",,1020.449875,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/3/88,187,50275,-0.016566753,-0.202806027,tohe_plate3_50275,0.03455,"Queen Charlotte Is., BC",coastalTOWA,NA,1020.449875,plate3,54,-132,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,50275,53.5549944,-132.3358154,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,CSW 3527,6/3/88,Canada,British Columbia,,Juskatla,(Graham Island),NA,1988,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_50279,1,M,50279,-132,54,-132,54,"Queen Charlotte Is., BC",,1020.449875,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/2/88,188,50279,-0.017907822,-0.192977305,tohe_plate3_50279,0.04495,"Queen Charlotte Is., BC",coastalTOWA,NA,1020.449875,plate3,54,-132,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,50279,53.4855942,-132.2506714,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,CSW 3523,6/2/88,Canada,British Columbia,,Juskatla, (Graham Island),NA,1988,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_50281,1,M,50281,-132,54,-132,54,"Queen Charlotte Is., BC",,1020.449875,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/2/88,189,50281,-0.01398349,-0.104200747,tohe_plate3_50281,3.00E-04,"Queen Charlotte Is., BC",coastalTOWA,NA,1020.449875,plate3,54,-132,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,50281,53.4855942,-132.2506714,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,flat/skel,CSW 3521,6/2/88,Canada,British Columbia,,Juskatla, (Graham Island),NA,1988,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate2_50296,1,M,50296,-132,54,-132,54,"Queen Charlotte Is., BC",,1020.449875,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/1/88,98,50296,0.028854211,-0.103263826,tohe_plate2_50296,0.1137,"Queen Charlotte Is., BC",coastalTOWA,NA,1020.449875,plate2,54,-132,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,50296,54.2499823,-129.4972229,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,CSW 3507,6/1/88,Canada,British Columbia,,Skeena,,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA
