"","Species","pop","sample.id","coords.x1","coords.x2","cells","NORM_6190_AHM","NORM_6190_bFFP","NORM_6190_CMD","NORM_6190_CMI","NORM_6190_cmiJJA","NORM_6190_DD.0","NORM_6190_DD.5","NORM_6190_eFFP","NORM_6190_EMT","NORM_6190_Eref","NORM_6190_FFP","NORM_6190_MAP","NORM_6190_MAT","NORM_6190_MCMT","NORM_6190_MSP","NORM_6190_MWMT","NORM_6190_NFFD","NORM_6190_PAS","NORM_6190_PPT_sm","NORM_6190_PPT_wt","NORM_6190_SHM","NORM_6190_Tave_sm","NORM_6190_Tave_wt","NORM_6190_TD","NORM_6190_Tmax07","NORM_6190_Tmin01","clim.pc1","clim.pc2"
"110","coastalTOWA","N._Vancouver_Island","maddie_plate2_B50746",-2137107.969,7355926.36,11402205,82,98,25,182,6,57,1451,310,-164,527,212,2217,82,29,482,145,296,105,234,798,301,135,33,116,183,6,529.862591146329,-500.866207697978
"111","coastalTOWA","N._Vancouver_Island","maddie_plate2_B50749",-2137107.969,7355926.36,11402205,82,98,25,182,6,57,1451,310,-164,527,212,2217,82,29,482,145,296,105,234,798,301,135,33,116,183,6,529.862591146329,-500.866207697978
"112","coastalTOWA","N._Vancouver_Island","maddie_plate2_B50752",-2137107.969,7355926.36,11402205,82,98,25,182,6,57,1451,310,-164,527,212,2217,82,29,482,145,296,105,234,798,301,135,33,116,183,6,529.862591146329,-500.866207697978
"113","coastalTOWA","N._Vancouver_Island","maddie_plate2_B50755",-2137107.969,7355926.36,11402205,82,98,25,182,6,57,1451,310,-164,527,212,2217,82,29,482,145,296,105,234,798,301,135,33,116,183,6,529.862591146329,-500.866207697978
"114","coastalTOWA","N._Vancouver_Island","maddie_plate2_B50756",-2137107.969,7355926.36,11402205,82,98,25,182,6,57,1451,310,-164,527,212,2217,82,29,482,145,296,105,234,798,301,135,33,116,183,6,529.862591146329,-500.866207697978
"115","inlandTOWA","Fairbanks_AK","maddie_plate2_B53585",-2153187.453,9282876.142,3559299,215,143,123,6,-4,2605,1090,249,-511,347,106,363,-22,-195,237,155,138,130,181,51,655,140,-180,350,209,-241,-394.819283504523,2447.80585773616
"116","inlandTOWA","Fairbanks_AK","maddie_plate2_B53587",-2153187.453,9282876.142,3559299,215,143,123,6,-4,2605,1090,249,-511,347,106,363,-22,-195,237,155,138,130,181,51,655,140,-180,350,209,-241,-394.819283504523,2447.80585773616
"117","inlandTOWA","Fairbanks_AK","maddie_plate2_B53588",-2153187.453,9282876.142,3559299,215,143,123,6,-4,2605,1090,249,-511,347,106,363,-22,-195,237,155,138,130,181,51,655,140,-180,350,209,-241,-394.819283504523,2447.80585773616
"118","inlandTOWA","Fairbanks_AK","maddie_plate2_B53590",-2153187.453,9282876.142,3559299,215,143,123,6,-4,2605,1090,249,-511,347,106,363,-22,-195,237,155,138,130,181,51,655,140,-180,350,209,-241,-394.819283504523,2447.80585773616
"119","inlandTOWA","Fairbanks_AK","maddie_plate2_B53594",-2153187.453,9282876.142,3559299,215,143,123,6,-4,2605,1090,249,-511,347,106,363,-22,-195,237,155,138,130,181,51,655,140,-180,350,209,-241,-394.819283504523,2447.80585773616
